Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2019-12-16,08:08:30,2019-12-16,00:08:30,126.48160944618395
2019-12-16,08:08:31,2019-12-16,00:08:31,126.55412831518396
2019-12-16,08:08:32,2019-12-16,00:08:32,126.47581112352832
2019-12-16,08:08:33,2019-12-16,00:08:33,126.39603328570752
2019-12-16,08:08:34,2019-12-16,00:08:34,126.31771609405187
2019-12-16,08:08:35,2019-12-16,00:08:35,126.30901418386792
2019-12-16,08:08:36,2019-12-16,00:08:36,126.2771101306604
2019-12-16,08:08:37,2019-12-16,00:08:37,126.12626521760376
2019-12-16,08:08:38,2019-12-16,00:08:38,126.09436116439623
2019-12-16,08:08:39,2019-12-16,00:08:39,126.1320723926604
2019-12-16,08:08:40,2019-12-16,00:08:40,126.1538227419198
2019-12-16,08:08:41,2019-12-16,00:08:41,126.07405375649999
2019-12-16,08:08:42,2019-12-16,00:08:42,126.0160351203396
2019-12-16,08:08:43,2019-12-16,00:08:43,125.89711196529248
2019-12-16,08:08:44,2019-12-16,00:08:44,125.79993030710376
2019-12-16,08:08:45,2019-12-16,00:08:45,125.87244917610376
2019-12-16,08:08:46,2019-12-16,00:08:46,125.98558286089624
2019-12-16,08:08:47,2019-12-16,00:08:47,125.97833274447645
2019-12-16,08:08:48,2019-12-16,00:08:48,125.94496804510376
2019-12-16,08:08:49,2019-12-16,00:08:49,125.82459309629247
2019-12-16,08:08:50,2019-12-16,00:08:50,125.91886231455187
2019-12-16,08:08:51,2019-12-16,00:08:51,125.86955444097644
2019-12-16,08:08:52,2019-12-16,00:08:52,125.9362661349198
2019-12-16,08:08:53,2019-12-16,00:08:53,125.76367087260375
2019-12-16,08:08:54,2019-12-16,00:08:54,125.61428660571228
2019-12-16,08:08:55,2019-12-16,00:08:55,125.59832572670751
2019-12-16,08:08:56,2019-12-16,00:08:56,125.56496987973584
2019-12-16,08:08:57,2019-12-16,00:08:57,125.54611426560376
2019-12-16,08:08:58,2019-12-16,00:08:58,125.52436391634436
2019-12-16,08:08:59,2019-12-16,00:08:59,125.4358841683396
2019-12-16,08:09:00,2019-12-16,00:09:00,125.30100013428772
