Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2020-03-25,20:21:54,2020-03-25,13:21:54,147.98345410468397
2020-03-25,20:21:55,2020-03-25,13:21:55,147.89353141531603
2020-03-25,20:21:56,2020-03-25,13:21:56,147.92108893963209
2020-03-25,20:21:57,2020-03-25,13:21:57,147.83406983779247
2020-03-25,20:21:58,2020-03-25,13:21:58,147.82826266273585
2020-03-25,20:21:59,2020-03-25,13:21:59,147.76009917502833
2020-03-25,20:22:00,2020-03-25,13:22:00,147.7383399733679
2020-03-25,20:22:01,2020-03-25,13:22:01,147.6701764856604
2020-03-25,20:22:02,2020-03-25,13:22:02,147.6005523517877
2020-03-25,20:22:03,2020-03-25,13:22:03,147.6194079659198
2020-03-25,20:22:04,2020-03-25,13:22:04,147.6310134636321
2020-03-25,20:22:05,2020-03-25,13:22:05,147.62231155344813
2020-03-25,20:22:06,2020-03-25,13:22:06,147.5875039127123
2020-03-25,20:22:07,2020-03-25,13:22:07,147.503379546
2020-03-25,20:22:08,2020-03-25,13:22:08,147.53093707031604
2020-03-25,20:22:09,2020-03-25,13:22:09,147.53673539297168
2020-03-25,20:22:10,2020-03-25,13:22:10,147.45696640755187
2020-03-25,20:22:11,2020-03-25,13:22:11,147.44826449736792
2020-03-25,20:22:12,2020-03-25,13:22:12,147.47147549279248
2020-03-25,20:22:13,2020-03-25,13:22:13,147.46132178884437
2020-03-25,20:22:14,2020-03-25,13:22:14,147.44826449736792
2020-03-25,20:22:15,2020-03-25,13:22:15,147.4236105605802
2020-03-25,20:22:16,2020-03-25,13:22:16,147.44826449736792
2020-03-25,20:22:17,2020-03-25,13:22:17,147.49032225452356
2020-03-25,20:22:18,2020-03-25,13:22:18,147.49758122334435
2020-03-25,20:22:19,2020-03-25,13:22:19,147.69628221621227
2020-03-25,20:22:20,2020-03-25,13:22:20,147.90368511926417
2020-03-25,20:22:21,2020-03-25,13:22:21,148.07917511670752
2020-03-25,20:22:22,2020-03-25,13:22:22,148.21551094452357
2020-03-25,20:22:23,2020-03-25,13:22:23,148.32864462931605
2020-03-25,20:22:24,2020-03-25,13:22:24,148.43597113905187
2020-03-25,20:22:25,2020-03-25,13:22:25,148.44902843052833
2020-03-25,20:22:26,2020-03-25,13:22:26,148.61582537018873
2020-03-25,20:22:27,2020-03-25,13:22:27,148.68834423918872
2020-03-25,20:22:28,2020-03-25,13:22:28,148.7753633410283
2020-03-25,20:22:29,2020-03-25,13:22:29,148.80436380670753
2020-03-25,20:22:30,2020-03-25,13:22:30,148.8986418773679
2020-03-25,20:22:31,2020-03-25,13:22:31,148.97841971518872
2020-03-25,20:22:32,2020-03-25,13:22:32,148.99727532932081
2020-03-25,20:22:33,2020-03-25,13:22:33,149.0654388170283
2020-03-25,20:22:34,2020-03-25,13:22:34,149.098794664
2020-03-25,20:22:35,2020-03-25,13:22:35,149.22497678786792
2020-03-25,20:22:36,2020-03-25,13:22:36,149.2728328676792
2020-03-25,20:22:37,2020-03-25,13:22:37,149.35406249926416
2020-03-25,20:22:38,2020-03-25,13:22:38,149.40917754789623
2020-03-25,20:22:39,2020-03-25,13:22:39,149.37872528845287
2020-03-25,20:22:40,2020-03-25,13:22:40,149.4396298073396
2020-03-25,20:22:41,2020-03-25,13:22:41,149.37291811339625
2020-03-25,20:22:42,2020-03-25,13:22:42,149.37872528845287
2020-03-25,20:22:43,2020-03-25,13:22:43,149.35406249926416
2020-03-25,20:22:44,2020-03-25,13:22:44,149.2945920693396
2020-03-25,20:22:45,2020-03-25,13:22:45,149.3410140601887
2020-03-25,20:22:46,2020-03-25,13:22:46,149.27573645520752
2020-03-25,20:22:47,2020-03-25,13:22:47,149.24673598952833
2020-03-25,20:22:48,2020-03-25,13:22:48,149.1829101783113
2020-03-25,20:22:49,2020-03-25,13:22:49,149.07848725610376
2020-03-25,20:22:50,2020-03-25,13:22:50,149.05672805444337
2020-03-25,20:22:51,2020-03-25,13:22:51,149.0219204137075
2020-03-25,20:22:52,2020-03-25,13:22:52,148.95230513223584
2020-03-25,20:22:53,2020-03-25,13:22:53,148.87978626323584
2020-03-25,20:22:54,2020-03-25,13:22:54,148.81452636305664
